,Id,Filename,Species,Genus,Sub-Family,Family,Sub-Order,Order,Super-Order,Name,Common-Name,DTI resolution,SNR,Brain Orientation,GM,WM,log10(GM),log10(WM),log10(BrV),BR,TotFib,CC,AC,HC,Total Commisures,Com Ratio,Total MSP,HMSP (RA),HMSP (LB),AvHMSP,TNetDens,HNetDens,Strong NetDens (>20),Hcost,Tcost,n
40,40,CaucasianSquirrel,Sciurus anomalus,Sciurus,Sciurinae,Sciuridae,Sciuromorpha,Rodentia,Euarchontoglires,Caucasian Squirrel,Caucasian squirrel,0.28,67.19131773,RL,4.77,0.54,3.678518379,2.73239376,3.725094521,5.31,73533,4658,529,905,6092,8.284715706,123.8521771,51.62144991,50.64055782,51.13100387,0.31281,18.805,1.16,646146.75,689906.7,1.0
41,41,ChaerephonPlicata,Chaerephon plicata,Chaerephon,Molossinae,Molossidae,Microchiroptera,Chiroptera,Laurasiatheria,Chaerephon Plicata,Wrinkle-lipped free tailed bat,0.13,24.26538077,RL,0.15027,0.02571,2.176872286,1.410102077,2.245463313,0.17598,27156,0,690,985,1675,6.168065989,95.59257451,39.21578214,40.32757976,39.77168095,0.23248,12.6055,1.48,671919.25,719796.6,1.0
42,42,Chimpanzee,Pan troglodytes (Chimpanzee),Pan,Homininae,Hominidae,Haplorrhini,Primates,Euarchontoglires,Chimpanzee,Chimpanzee,1.377,40.75535411,LR,264.258,105.3,5.422028144,5.022428371,5.567682608,369.558,40984,7480,1,670,8151,19.88824907,144.234869,55.04989232,57.59749764,56.32369498,0.36781,18.806,1.03,690233.35,760415.3,1.0
43,43,Chinchila,Chinchilla chinchilla,Chinchilla,Chinchillinae,Chinchillidae,Hystricomorpha,Rodentia,Euarchontoglires,Chinchila,"Long tailedchinchilla",0.305,39.47214766,RL,3.3855,0.5208,3.529622818,2.716670976,3.591765594,3.9063,65590,1540,465,3907,5912,9.013569142,127.4901636,49.31034493,50.32276228,49.8165536,0.36685,20.0785,1.12,774932.45,905979.8,1.0
44,44,Chital1,Axis Axis,Axis,Cervinae,Cervidae,Ruminantia,Cetartiodactyla,Laurasiatheria,Chital,"Chital (spotteddeer)",0.97,192.7266419,RL,125.71,13.67,5.099369826,4.135768515,5.14420046,139.38,45905,2997,311,109,3417,7.443633591,129.953314,51.59496273,55.27470405,53.43483339,0.33123,20.0135,0.98,751066.7,764138.2,2.0
45,45,Chital2,Axis Axis,Axis,Cervinae,Cervidae,Ruminantia,Cetartiodactyla,Laurasiatheria,Chital,"Chital (spotteddeer)",0.933,198.6921082,RL,103.46,14.99,5.014772474,4.175801633,5.073535065,118.45,32497,2652,161,127,2940,9.046988953,120.7236796,46.56480958,47.13915268,46.85198113,0.29109,16.075,1.34,626290.8,643452.3,2.0
46,46,Colobus2,Angola Colobus,Colobus,Colobinae,Cercopithecidae,Haplorrhini,Primates,Euarchontoglires,Colobus,"Mantled (colobus)guereza",0.7,61.57092511,RL,64.33,17.08,4.808413551,4.232487866,4.910677755,81.41,93133,12701,440,570,13711,14.72195677,140.8735749,59.91466412,59.45794508,59.6863046,0.36791,22.6645,0.88,810714.55,858366.3,1.0
47,47,CommonFox,Vulpes vulpes,Vulpes,Caninae,Canidae,Caniformia,Carnivora,Laurasiatheria,Common Fox,Common (red) fox,0.5,54.30598526,RL,26.64,7.83,4.42553422,3.893761762,4.537441283,34.47,111408,9564,942,1406,11912,10.69223036,140.1897206,54.07660946,54.20542674,54.1410181,0.36032,18.169,1.15,843078.1,944473.1,1.0
48,48,CommonHedgeHog1,Erinaceus concolor,Erinaceus,Erinaceinae,Erinaceidae,Erinaceomorpha,Eulipotyphla,Laurasiatheria,Common Hedge Hog,Southern white-breasted hedgehog,0.24,31.54996223,RL,1.612,0.3408,3.207365037,2.532499586,3.290657766,1.9528,57631,2130,1078,417,3625,6.290017525,101.9778243,39.41039984,44.53187564,41.97113774,0.18824,9.814,1.67,653456.1,714258.9,3.0
49,49,CommonHedgeHog2,Erinaceus concolor,Erinaceus,Erinaceinae,Erinaceidae,Erinaceomorpha,Eulipotyphla,Laurasiatheria,Common Hedge Hog,Southern white-breasted hedgehog,0.25,35.91522194,RL,1.96,0.147,3.292256071,2.167317335,3.323664536,2.107,64686,1681,1552,816,4049,6.259468819,128.345003,48.96192396,52.39377939,50.67785167,0.34639,19.378,1.23,773341.15,869463.5,3.0
50,50,CommonHedgeHog3,Erinaceus concolor,Erinaceus,Erinaceinae,Erinaceidae,Erinaceomorpha,Eulipotyphla,Laurasiatheria,Common Hedge Hog,Southern white-breasted hedgehog,0.266,26.78275791,RL,2.0246,0.1132,3.306339233,2.053846427,3.329967073,2.1378,67071,1223,1647,2195,5065,7.551698946,131.7897244,51.52348342,53.60916972,52.56632657,0.34825,19.6435,1.17,861586.05,964528.3,3.0
51,51,CommonTreeShrew,Tupaia glis,Tupaia,,Tupaiidae,,Scandentia,Euarchontoglires,Common Tree Shrew,Common treeshrew,0.2,18.12112254,RL,1.22007,0.062768,3.086384748,1.797738291,3.108171816,1.282838,55791,2778,328,1549,4655,8.343639655,116.844498,45.79558555,46.89929849,46.34744202,0.26832,14.3,1.59,672085.75,743879.4,1.0
52,52,Cow1,Bos taurus,Bos,Bovinae,Bovidae,Ruminantia,Cetartiodactyla,Laurasiatheria,Cow,Cow,1.5,19.77777853,LR,282.0,46.3,5.450249108,4.665580991,5.516270883,328.3,27950,2643,1,691,3335,11.93202147,111.472644,40.49170131,51.62108778,46.05639455,0.29042,16.152,1.19,638299.0,662778.9,1.0
53,53,Coypu,Myocastor Coypus,Myocastor,Myocastoridae,Echimyidae,Hystricomorpha,Rodentia,Euarchontoglires,Coypu,Coypu (nutria),0.43,59.38401047,RL,13.03,2.068,4.114944416,3.315550534,4.178919421,15.098,117759,8332,3060,234,11626,9.87270612,130.9206598,53.29984714,51.09913942,52.19949328,0.34246,17.758,1.33,792047.0,985349.0,1.0
54,54,Cynopterus,Cynopterus brachyotis,Cynopterus,Cynopterinae,Pteropodidae,Megachiroptera,Chiroptera,Laurasiatheria,Cynopterus,Lesser short-nosed fruit bat,0.22,22.71167015,RL,0.74867,0.18065,2.874290431,2.256837966,2.968165284,0.92932,86393,936,1591,417,2944,3.407683493,113.8120918,40.2405134,47.42239925,43.83145633,0.19836,10.771,1.85,782962.85,832937.5,1.0
55,55,Deer1,Gazella Gazella,Gazella,Antilopinae,Cervidae,Ruminantia,Cetartiodactyla,Laurasiatheria,Deer,Deer,0.66,46.16691666,RL,60.54,12.6,4.782042417,4.100370545,4.864154956,73.14,221848,29438,678,709,30825,13.89464859,141.6988787,54.71172941,54.19624125,54.45398533,0.34684,17.451,1.22,850044.95,974353.4,2.0
56,56,Deer2,Gazella Gazella,Gazella,Antilopinae,Cervidae,Ruminantia,Cetartiodactyla,Laurasiatheria,Deer,Deer,0.66,51.87452359,RL,59.27,9.39,4.772834927,3.972665592,4.836703799,68.66,56547,3264,47,1297,4608,8.14897342,131.952154,51.18853603,55.77655811,53.48254707,0.32981,19.6765,1.01,745361.85,764340.8,2.0
